Actividad,UserName,Email,TypeUser,Fecha,IdIncidencia
Inicio de Sesion,Efrain Garcia,efrain@gmail.com,Tecnico,Wed May 25 22:33:31 CEST 2022,NaN
Inicio de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 22:34:05 CEST 2022,NaN
Inicio de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 22:34:42 CEST 2022,NaN
Inicio de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 23:15:39 CEST 2022,NaN
Inicio de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 23:19:05 CEST 2022,NaN
Nueva incidencia,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 23:19:37 CEST 2022,40832
Nueva incidencia,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 23:21:33 CEST 2022,24584
Inicio de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 23:28:20 CEST 2022,NaN
Inicio de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 23:35:41 CEST 2022,NaN
Inicio de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 23:36:15 CEST 2022,NaN
Cierre de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Wed May 25 23:37:56 CEST 2022,NaN
Inicio de Sesion,Matias Perez,jose@gmail.com,Usuario,Wed May 25 23:40:51 CEST 2022,NaN
Cierre de Sesion,Matias Perez,jose@gmail.com,Usuario,Wed May 25 23:41:24 CEST 2022,NaN
Inicio de Sesion,Pepe Lopez,pepe@gmail.com,Tecnico,Wed May 25 23:43:03 CEST 2022,NaN
Inicio de Sesion,Pepe Lopez,pepe@gmail.com,Tecnico,Wed May 25 23:44:39 CEST 2022,NaN
Inicio de Sesion,Pepe Lopez,pepe@gmail.com,Tecnico,Wed May 25 23:45:12 CEST 2022,NaN
Inicio de Sesion,Pepe Lopez,pepe@gmail.com,Tecnico,Wed May 25 23:46:54 CEST 2022,NaN
Cierre de Sesion,Pepe Lopez,pepe@gmail.com,Tecnico,Wed May 25 23:47:46 CEST 2022,NaN
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Wed May 25 23:48:25 CEST 2022,NaN
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Wed May 25 23:52:35 CEST 2022,NaN
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Wed May 25 23:53:54 CEST 2022,NaN
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Thu May 26 00:05:59 CEST 2022,NaN
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Thu May 26 08:26:01 CEST 2022,NaN
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Thu May 26 08:31:12 CEST 2022,NaN
Asignacion incidencia,Efrain Garcia,efrain@gmail.com,Tecnico,Thu May 26 08:31:31 CEST 2022,24584
Cierre de Sesion,Joel Sistera,admin@gmail.com,Admin,Thu May 26 08:32:15 CEST 2022,NaN
Inicio de Sesion,Efrain Garcia,efrain@gmail.com,Tecnico,Thu May 26 08:32:36 CEST 2022,NaN
Inicio de Sesion,Efrain Garcia,efrain@gmail.com,Tecnico,Thu May 26 08:47:26 CEST 2022,NaN
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Thu May 26 08:48:52 CEST 2022,NaN
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Thu May 26 08:58:37 CEST 2022,NaN
Asignacion incidencia,Efrain Garcia,efrain@gmail.com,Tecnico,Thu May 26 09:00:26 CEST 2022,40832
Inicio de Sesion,Joel Sistera,admin@gmail.com,Admin,Thu May 26 20:20:01 CEST 2022,NaN
Cierre de Sesion,Joel Sistera,admin@gmail.com,Admin,Thu May 26 20:21:00 CEST 2022,NaN
Inicio de Sesion,Jose Martinez,arielcocherane@gmail.com,Usuario,Thu May 26 20:24:44 CEST 2022,NaN
Nueva incidencia,Jose Martinez,arielcocherane@gmail.com,Usuario,Thu May 26 20:25:30 CEST 2022,50413
